XID,Project Name,City,Magicbricks.com Link
r409908,Cinco Fairland,Coimbatore,Not Found
r420162,Aastha The Watermark,Jamshedpur,https://www.magicbricks.com/kamini-kaushal-the-watermark-adityapur-jamshedpur-pdpid-4d4235343232303435
r413382,Shriram Solitaire,Bangalore North,https://www.magicbricks.com/shriram-solitaire-yelahanka-new-town-bangalore-pdpid-4d4235343036333233
r376088,Smart World Orchard,Gurgaon,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439
r235520,Fortune Butterfly City,Hyderabad,https://www.magicbricks.com/project-plots-fortune-butterfly-city-for-sale-in-hyderabad-pppfs
r300077,Elevate Godrej Se7en,Kolkata South,https://www.magicbricks.com/elevate-at-godrej-seven-joka-kolkata-pdpid-4d4235343139333631
r398124,Mount Alaya Belmonte,Ahmedabad North,https://www.magicbricks.com/flats-in-chharodi-ahmedabad-for-sale-price-80-lakhs-to-90-lakhs-pppfs
r429474,RLD Merlion Estate,Chennai West,https://www.magicbricks.com/rld-merlion-estate-vanagaram-chennai-pdpid-4d4235343233373833
r417614,Sri MGR Windsor Gardens,Bangalore South,https://www.magicbricks.com/mgr-windsor-gardens-jp-nagar-phase-5-bangalore-pdpid-4d4235343231383733
r386987,DS Max Sukruth,Bangalore South,https://www.magicbricks.com/ds-max-sukruth-chandapura-bangalore-pdpid-4d4235333236363035
r393335,Sri Balajis Saphire,Chennai West,https://www.magicbricks.com/new-projects-Maduravoyal-in-Chennai
r2,Omaxe Twin Towers,Noida,https://www.magicbricks.com/project-omaxe-twin-tower-for-sale-in-noida-pppfs
r405295,Sapnil Residency,Kolkata North,https://www.magicbricks.com/sapnil-residency-bonhooghly-kolkata-pdpid-4d4235303236323239
r433824,Prime Plots Uran,Navi Mumbai,https://www.magicbricks.com/residential-plots-land-for-sale-in-uran-navi-mumbai-pppfs
r434608,Eldeco Fairway Reserve,Gurgaon,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137
r437320,SS Sri Balan Flats,Chennai South,Not Found
r51192,Kalyan Garden View,Lucknow,https://www.magicbricks.com/project-krishna-kalyan-garden-view-for-sale-in-lucknow-pppfs
r4700,Lodha Bella Vita,Pune South,https://www.magicbricks.com/project-lodha-bella-vita-2bhk-for-sale-in-pune-pppfs
r24280,Runwal Forests,Central Mumbai,https://www.magicbricks.com/project-runwal-forests-3bhk-for-sale-in-mumbai-pppfs
r294633,Codename Skywards,Thane Outskirts,https://www.magicbricks.com/jp-codename-skywards-ambernath-east-beyond-thane-pdpid-4d4235333333383335
r398606,SB Centrum,Bhilai,Not Found
r262402,Bhavishya Metro City,Bhopal,https://www.magicbricks.com/bhivisya-metro-city-bhopal-bagh-sewaniyan-bhopal-pdpid-4d4235323230333533
r398757,Trendsquares Ortus 3,Bangalore North,https://www.magicbricks.com/project-trendsquares-ortus-iii-for-sale-in-bangalore-pppfs
r430363,Precious Icon,Thane Outskirts,Not Found
r376598,Ravimurugaa Sai Gardenia,Coimbatore,https://www.magicbricks.com/sai-gardenia-peelamedu-coimbatore-pdpid-4d4235343130313735
r402170,Imperial Ville,Jaipur,https://www.magicbricks.com/hi-tech-imperial-ville-gandhi-path-jaipur-pdpid-4d4235333937363935
r435898,ACS Pearl Garden,Chennai South,Not Found
r436787,Malpani Celestia,Pune South,https://www.magicbricks.com/celestia-baner-gaon-pune-pdpid-4d4235333933373035
r383703,River Breeze,Hyderabad,Not Found
r402665,Shree Gursahani Twin Tower,Aurangabad,Not Found
r436183,Godrej Evergreen Square,Pune West,Not Found
r369486,Kuber Shrushti Residency,Pune East,https://www.magicbricks.com/project-kuber-shrushti-residency-for-sale-in-pune-pppfs
r398521,Shreepad Inspire,Surat,https://www.magicbricks.com/project-shreepad-inspire-for-sale-in-surat-pppfs
r29040,Naiknavare Kutumb,Pune West,https://www.magicbricks.com/naiknavare-kutumb-prime-vadgaon-pune-pdpid-4d4235333333303637
r408305,Ram Address One,Pune South,Not Found
r395412,Ashiana Malhar,Pune West,https://www.magicbricks.com/project-ashiana-malhar-for-sale-in-pune-pppfs
r394292,Ashwamedh Ratnaprabha,Pune Central,Not Found
r429438,Rose Hills Estate,Srinagar,Not Found
r409008,Sobha Neopolis,Bangalore East,Not Found
r369336,Om Sree Brilliance,Secunderabad,https://www.magicbricks.com/om-sree-brilliance-as-rao-nagar-hyderabad-pdpid-4d4235313838353232
r367669,Assetz Canvas and Cove,Bangalore South,https://www.magicbricks.com/project-assetz-canvas-and-cove-phase-1-for-sale-in-bangalore-pppfs
r434202,Nidhi Land Shakthi Heights,Mangalore,https://www.magicbricks.com/nidhi-land-shakthi-heights-shakti-nagar-mangalore-pdpid-4d4235343234333133
r375899,Raama Skyz,Vadodara,https://www.magicbricks.com/raama-skyz-sama-vadodara-pdpid-4d4235323330323437
r390836,Anand Bhawan,Western Mumbai,https://www.magicbricks.com/anand-bhavan-santacruz-west-mumbai-pdpid-4d4235323238393031
r258491,Prozone Palms,Coimbatore,Not Found
r404912,Boston by Pride World City,Pune North,Not Found
r344821,Sunteck City Avenue 4,Western Mumbai,https://www.magicbricks.com/project-sunteck-city-avenue-1-3bhk-for-sale-in-mumbai-pppfs
r422622,Evara Wadhwa Wise City,Navi Mumbai,Not Found
r424835,Venkatesh Anandmayi,Pune South,https://www.magicbricks.com/venkatesh-heights-narhe-pune-pdpid-4d4235303839363932
r332831,Prateek Canary,Noida,https://www.magicbricks.com/prateek-canary-sector-150-noida-pdpid-4d4235313236353535
r392193,Kohinoor Abhimaan Homes Phase 3,Pune North,https://www.magicbricks.com/kohinoor-abhimaan-homes-shirgaon-pune-pdpid-4d4235303936343837
r430319,Prosperity Homes,Lucknow,Not Found
r428449,Sun Siri The Capital,Guntur,Not Found
