XID,URL,Project Name,Project Status,Video Count
2584,https://www.squareyards.com/noida-residential-property/mahagun-mezzaria/588/project,Mahagun Mezzaria,Ready to Move,1
341813,https://www.squareyards.com/noida-residential-property/aba-ivy-county/11120/project,ABA Ivy County,Ready to Move,1
426589,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-west/247372/project,DLF Privana West,New Launch,1
428688,https://www.squareyards.com/gurgaon-residential-property/central-park-bignonia-towers/249831/project,Central Park Bignonia Towers,Under Construction,1
269936,https://www.squareyards.com/gurgaon-residential-property/central-park-flower-valley-aqua-front-towers/100364/project,Central Park Flower Valley Aqua Front Towers,Ready to Move,1
397844,https://www.squareyards.com/noida-residential-property/mahagun-medalleo/186614/project,Mahagun Medalleo,Under Construction,1
421711,https://www.squareyards.com/noida-residential-property/m3m-the-line/236502/project,M3M The Line,Under Construction,2
422937,https://www.squareyards.com/gurgaon-residential-property/krisumi-waterside-residences/247870/project,Krisumi Waterside Residences,New Launch,1
401978,https://www.squareyards.com/greater-noida-residential-property/ambesten-twin-county/101625/project,Ambesten Twin County,Ready to Move,1
6136,https://www.squareyards.com/gurgaon-residential-property/dlf-the-skycourt/114/project,DLF The Skycourt,Ready to Move,1
373829,https://www.squareyards.com/greater-noida-residential-property/orris-greenbay-golf-village-plots/20815/project,Orris Greenbay Golf Village Plots,Ready to Move,1
394131,https://www.squareyards.com/greater-noida-residential-property/rg-luxury-homes/902/project,RG Luxury Homes,Partially Ready To Move,1
328277,https://www.squareyards.com/greater-noida-residential-property/nirala-estate-ii/20617/project,Nirala Estate II,Under Construction,0
255783,https://www.squareyards.com/greater-noida-residential-property/shri-radha-aqua-garden/8372/project,Shri Radha Aqua Garden,Ready to Move,0
123445,https://www.squareyards.com/noida-residential-property/ace-parkway/4863/project,ACE Parkway,Ready to Move,1
298653,https://www.squareyards.com/greater-noida-residential-property/crc-sublimis/29282/project,CRC Sublimis,Ready to Move,1
373410,https://www.squareyards.com/greater-noida-residential-property/apex-alphabet/101984/project,Apex Alphabet,Ready to Move,0
432550,https://www.squareyards.com/gurgaon-residential-property/tarc-ishva/308402/project,Tarc Ishva,New Launch,2
425712,https://www.squareyards.com/greater-noida-residential-property/ska-destiny-one/246909/project,SKA Destiny One,New Launch,2
376088,https://www.squareyards.com/gurgaon-residential-property/smart-world-orchard/103238/project,Smart World Orchard,Ready to Move,1
6356,https://www.squareyards.com/greater-noida-residential-property/kumar-imperial-greens/905/project,Kumar Imperial Greens,Partially Ready To Move,1
